VMName,Host,vCPUs,RAM,Storage,Used,Available,VM Installed On,OS
DSN-R2APP-2.245,C2-BLD10-CXS-30,6,16,80,46,19,Install Date: Wed 09 Dec 2015, CentOS release 6.5 (Final)
COMMON-UXCODEGEN-WEBSITE-1.87,C2-BLD02-CXS-22,2,4,75,,,, CentOS release 6.10 (Final)
WINDOWS7-LICENCEDONOTDELETE-1.164,,0,8,80,,,,
VH-TCQA-4.147,C2-BLD14-CXS-34,6,16,100,90,16M,Install Date: Tue 21 Jan 2020, CentOS release 6.5 (Final)
SAMISA-PYTHON-4.215,C2-BLD03-CXS-23,6,20,100,16,71,Install Date: Tue 17 Sep 2019,
SE-LOADTESTDB-1.202,C2-BLD12-CXS-32,8,16,250,78,61,Install Date: Wed 31 Aug 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-GRINDER-2.95,C2-BLD12-CXS-32,8,12,60,35,18,Install Date: Tue 05 May 2015, CentOS release 6.2 (Final)
EVALP-SALON-3.40,,0,2,60,,,, CentOS release 6.2 (Final)
DSN-DLPDEVAPP-2.246,C2-BLD14-CXS-34,6,20,150,81,45,Install Date: Wed 09 Dec 2015, Red Hat Enterprise Linux Server release 6.6 (Santiago)
FZ-DB-3.9,,0,8,380,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DA-B2BWEB-1.34,C2-BLD08-CXS-28,4,14,60,25,30,Install Date: Tue 12 Dec 2017, CentOS release 6.2 (Final)
VH-APP-2.132,C2-BLD02-CXS-22,6,12,140,63,61,Install Date: Tue 01 Mar 2016, CentOS release 6.2 (Final)
TBXSURF-WEB-2.23,C2-BLD13-CXS-33,2,8,30,23,3.7,Install Date: Tue 17 Oct 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
TC-JENKINS-2.198,C2-BLD12-CXS-32,2,8,100,66,25,Install Date: Fri 13 May 2016, CentOS release 6.2 (Final)
SUPP-OPBRIDGE-1.248,C2-BLD02-CXS-22,3,4,75,52,15,Install Date: Thu 22 Jan 2015, CentOS release 6.2 (Final)
DSN-DB-2.90,C2-BLD04-CXS-24,8,32,300,213,66,Install Date: Mon 11 Jun 2018,
TBXSURF-ELASTICSEARCH-2.183,C2-BLD04-CXS-24,3,6,100,8.4,84,Install Date: Tue 14 Jun 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-REGPKG-1.254,,0,10,72,,,, Red Hat Enterprise Linux Server release 6.6 (Santiago)
SE-LBAPP-1.223,,0,2,200,,,, Red Hat Enterprise Linux Server release 6.3 (Santiago)
SE-DAILYLOADTEST-2.193,C2-BLD08-CXS-28,4,8,130,120,4.4,Install Date: Tue 05 May 2015, CentOS release 6.2 (Final)
TBXSURF-APP-3.56,C2-BLD03-CXS-23,3,8,80,65,8.7,Install Date: Tue 14 Jun 2016,
SUPP-CLAIM-2.106,C2-BLD04-CXS-24,2,4,50,7.7,36,Install Date: Tue 04 Sep 2018, CentOS release 6.5 (Final)
DSN-WIN7-2.252,,3,8,100,,,,
CV-DB-2.120,C2-BLD10-CXS-30,6,12,325,285,19,Install Date: Thu 28 Jan 2016,
COMMON-WIKI-2.52,C2-BLD03-CXS-23,4,4,128,31,85,Install Date: Mon 12 Oct 2015, CentOS release 6.2 (Final)
ARC-APP-3.25,C2-BLD03-CXS-23,6,20,150,135,1.7,Install Date: Mon 09 Jan 2017, Red Hat Enterprise Linux Server release 6.3 (Santiago)
FDM-DEVDB-0.9,C2-BLD08-CXS-28,4,8,250,166,59,Install Date: Fri 13 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
KUONI-JENKINS-2.195,C2-BLD12-CXS-32,3,8,100,71,19,Install Date: Fri 13 May 2016, CentOS release 6.5 (Final)
RCCL-APP-1.169,C2-BLD02-CXS-22,3,8,200,17,163,Install Date: Wed 09 Apr 2014, Red Hat Enterprise Linux Server release 6.3 (Santiago)
GOWAY-DB-3.30,C2-BLD13-CXS-33,2,8,550,153,352,Install Date: Fri 13 May 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
DSN-GRINDER-2.21,C2-BLD13-CXS-33,4,8,60,50,2.9,Install Date: Tue 05 May 2015, CentOS release 6.2 (Final)
FZ-APP-2.119,C2-BLD10-CXS-30,4,16,100,38,52,Install Date: Mon 25 Jan 2016, Red Hat Enterprise Linux Server release 6.3 (Santiago)
